Train.Red Export for,Session at 2025-05-06 2:15 p.m.,,,,,,,,,,
-------------------------------------------------------------,,,,,,,,,,,
Sensor 1,Train.Red FYER,,,,,,,,,,
-------------------------------------------------------------,,,,,,,,,,,
Sensor DataType,expertV13,,,,,,,,,,
Sensor ID,Train.Red FYER 0673,,,,,,,,,,
Mac Address,,,,,,,,,,,
Firmware Version,,,,,,,,,,,
Sensor Position,legRightUpperFront,,,,,,,,,,
Initial TSI,67.65,,,,,,,,,,
Initial HBDiff,38.87,,,,,,,,,,
Initial o2Hb,93.92,,,,,,,,,,
Initial HHb,55.81,,,,,,,,,,
Tsi Var,14,,,,,,,,,,
Filter Id,6,,,,,,,,,,
MSS Avg,61,,,,,,,,,,
TSI Min,55.75,,,,,,,,,,
TSI Max,71.6,,,,,,,,,,
TSI Avg,64.78,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Sensor 2,Train.Red FYER,,,,,,,,,,
-------------------------------------------------------------,,,,,,,,,,,
Sensor DataType,expertV13,,,,,,,,,,
Sensor ID,Train.Red FYER 0702,,,,,,,,,,
Mac Address,,,,,,,,,,,
Firmware Version,,,,,,,,,,,
Sensor Position,legLeftUpperFront,,,,,,,,,,
Initial TSI,70.76,,,,,,,,,,
Initial HBDiff,40.61,,,,,,,,,,
Initial o2Hb,90.97,,,,,,,,,,
Initial HHb,50.96,,,,,,,,,,
Tsi Var,12,,,,,,,,,,
Filter Id,6,,,,,,,,,,
MSS Avg,64,,,,,,,,,,
TSI Min,55.92,,,,,,,,,,
TSI Max,77.16,,,,,,,,,,
TSI Avg,68.78,,,,,,,,,,
,,,Train.Red FYER 0673,,,,,Train.Red FYER 0702,,,
Timestamp (seconds passed),Lap/Event,,SmO2 unfiltered,HBDiff unfiltered,Muscle state,Muscle trend,,SmO2 unfiltered,HBDiff unfiltered,Muscle state,Muscle trend
2084.15,1,,67.15,35.85,1,0,,72.05,39.51,1,0
2084.17,1,,67.15,35.85,1,0,,72.15,38.99,1,0
2084.21,1,,67.69,35.78,1,0,,72.38,39.59,1,0
2084.31,1,,67.69,35.78,1,0,,72.67,39.59,1,0
2084.39,1,,67.69,35.78,1,0,,71.56,39.54,1,0
2084.54,1,,67.8,35.56,1,0,,71.56,39.9,1,0
2084.6,1,,68.09,35.79,1,0,,72.05,39.43,1,0
2084.78,1,,68.09,35.79,1,0,,71.6,39.54,1,0
2084.81,1,,67.49,35.78,1,0,,71.95,39.65,1,0
2084.91,1,,67.49,35.78,1,0,,71.55,39.57,1,0
2084.99,1,,67.49,35.78,1,0,,70.96,39.51,1,0
2085.11,1,,69.25,35.59,1,0,,72.14,39.49,1,0
2085.2,1,,69.6,35.8,1,0,,71.83,39.94,1,0
2085.33,1,,69.6,35.8,1,0,,71.95,39.49,1,0
2085.41,1,,69.6,35.8,1,0,,71.84,39.51,1,0
2085.62,1,,68.33,35.84,1,0,,72.45,39.71,1,0
2085.62,1,,68.33,35.84,1,0,,72.22,39.36,1,0
2085.68,1,,68.33,35.84,1,0,,72.48,39.25,1,0
2085.89,1,,67.71,36.12,1,0,,71.84,39.19,1,0
2085.92,1,,67.71,36.12,1,0,,71.65,39.35,1,0
2086.05,1,,68.18,35.97,1,0,,71.74,39.37,1,0
2086.07,1,,68.18,35.97,1,0,,71.93,39.11,1,0
2086.19,1,,67.53,35.83,1,0,,70.79,39.01,1,0
2086.28,1,,67.53,35.83,1,0,,72.12,39.25,1,0
2086.37,1,,67.53,35.83,1,0,,72.06,39.22,1,0
2087.27,1,,67.94,35.81,1,0,,71.71,39.26,1,0
2087.27,1,,67.94,35.81,1,0,,71.93,39.35,1,0
2087.29,1,,67.34,35.67,1,0,,71.62,39.26,1,0
2087.34,1,,67.34,35.67,1,0,,72.25,39.25,1,0
2087.34,1,,67.34,35.67,1,0,,72.06,39.21,1,0
2087.34,1,,67.34,35.67,1,0,,72.06,39.21,1,0
2087.34,1,,67.34,35.67,1,0,,72.06,39.21,1,0
2087.34,1,,67.34,35.67,1,0,,72.06,39.21,1,0
2087.34,1,,67.34,35.67,1,0,,72.49,39.26,1,0
2087.36,1,,67.34,35.67,1,0,,71.91,38.84,1,0
2087.48,1,,68.84,35.89,1,0,,72.21,38.97,1,0
2087.57,1,,68.84,35.89,1,0,,71.94,39.05,1,0
2087.66,1,,67.51,35.96,1,0,,70.98,39.16,1,0
2087.9,1,,68.52,35.69,1,0,,70.04,39.23,1,0
2087.9,1,,68.52,35.69,1,0,,70.04,39.23,1,0
2087.97,1,,68.52,35.69,1,0,,71.88,39.02,1,0
2088.08,1,,67.75,35.64,1,0,,71.57,38.83,1,0
2088.17,1,,67.75,35.64,1,0,,72.01,38.77,1,0
2088.38,1,,67.69,35.55,1,0,,71.82,38.9,1,0
2088.38,1,,67.69,35.55,1,0,,71.86,38.44,1,0
2088.47,1,,67.54,35.43,1,0,,71.99,38.86,1,0
2088.71,1,,67.71,35.51,1,0,,72.03,38.72,1,0
2088.71,1,,67.71,35.51,1,0,,72.03,38.72,1,0
2088.81,1,,67.56,35.58,1,0,,70.83,39.14,1,0
2088.86,1,,67.56,35.58,1,0,,70.88,38.89,1,0
2088.95,1,,67.34,35.51,1,0,,71.6,38.79,1,0
2089.17,1,,67.35,35.23,1,0,,71.61,38.73,1,0
2089.19,1,,67.35,35.23,1,0,,72.22,38.68,1,0
2089.28,1,,67.67,35.42,1,0,,71.46,38.77,1,0
2089.37,1,,67.21,35.89,1,0,,71.03,38.51,1,0
2089.46,1,,67.32,35.38,1,0,,71.99,38.88,1,0
2089.55,1,,67.32,35.38,1,0,,71.43,38.95,1,0
2089.73,1,,67.67,35.27,1,0,,71.07,38.85,1,0
2089.82,1,,67.78,35.21,1,0,,71.28,38.8,1,0
2089.85,1,,67.78,35.21,1,0,,71.01,38.86,1,0
2089.94,1,,67.46,35.41,1,0,,71.41,39.05,1,0
2090.19,1,,67.62,35.34,1,0,,70.73,39.02,1,0
2090.19,1,,67.62,35.34,1,0,,71.85,39,1,0
2090.39,1,,67.55,35.41,1,0,,71.4,39.03,1,0
2090.39,1,,67.55,35.41,1,0,,71.71,38.89,1,0
2090.45,1,,67.55,35.41,1,0,,71.55,38.86,1,0
2090.54,1,,65.66,36.03,1,0,,70.89,39,1,0
2090.63,1,,67.39,35.53,1,0,,72.04,38.57,1,0
2090.78,1,,67.03,35.37,1,0,,72.15,38.93,1,0
2090.84,1,,67.6,35.29,1,0,,70.8,38.86,1,0
2091.76,1,,68.43,35.29,1,0,,71.52,39.09,1,0
2091.76,1,,68.43,35.29,1,0,,71.52,39.09,1,0
2091.76,1,,68.43,35.29,1,0,,71.52,39.09,1,0
2091.76,1,,68.43,35.29,1,0,,71.52,39.09,1,0
2091.81,1,,68.43,35.29,1,0,,70.84,38.57,1,0
2091.81,1,,68.43,35.29,1,0,,69.98,38.44,1,0
2091.81,1,,68.43,35.29,1,0,,69.98,38.44,1,0
2091.81,1,,68.43,35.29,1,0,,71.89,38.68,1,0
2091.81,1,,68.43,35.29,1,0,,71.7,38.78,1,0
2091.83,1,,68.43,35.29,1,0,,71.4,38.74,1,0
2091.92,1,,68.43,35.29,1,0,,70.99,38.68,1,0
2092.14,1,,67.39,35.09,1,0,,71.28,38.65,1,0
2092.14,1,,67.39,35.09,1,0,,71.21,38.71,1,0
2092.22,1,,68.46,35.36,1,0,,70.82,38.81,1,0
