Time[s],Time[hh:mm:ss],HR[bpm],SmO2[%],SmO2 -  2[%],SmO2 -  3[%],THb[THb],THb -  2[THb],THb -  3[THb],RPM[rpm],Speed[km/h],RR[ms]
1,00:00:01,131,"0,00","40,90","0,00","0,000","13,030","0,000","0,00","0,00","457,03"
2,00:00:02,131,"13,80","40,90","37,90","12,460","13,030","12,190","0,00","0,00","457,03"
3,00:00:03,131,"13,80","40,90","37,90","12,460","13,030","12,190","0,00","0,00","453,12"
4,00:00:04,132,"13,30","41,80","39,00","12,460","13,030","12,150","0,00","0,00","455,08"
5,00:00:05,132,"13,30","41,80","39,00","12,460","13,030","12,150","0,00","0,00","450,44"
6,00:00:06,133,"12,70","43,50","39,40","12,460","13,030","12,150","0,00","0,00","452,15"
7,00:00:07,134,"12,70","43,50","39,40","12,460","13,030","12,150","0,00","0,00","446,53"
8,00:00:08,135,"12,70","45,50","39,10","12,470","13,030","12,170","0,00","0,00","444,34"
9,00:00:09,135,"12,70","45,50","39,10","12,470","13,030","12,170","0,00","0,00","441,41"
10,00:00:10,135,"13,10","47,20","37,30","12,470","13,020","12,290","0,00","0,00","443,36"
11,00:00:11,135,"13,10","49,10","37,30","12,470","13,030","12,290","0,00","0,00","443,36"
12,00:00:12,136,"13,10","49,10","36,60","12,470","13,030","12,320","0,00","0,00","440,01"
13,00:00:13,137,"13,10","49,10","36,60","12,470","13,030","12,320","0,00","0,00","437,17"
14,00:00:14,137,"13,30","49,70","36,40","12,470","13,030","12,370","0,00","0,00","435,55"
15,00:00:15,137,"13,30","49,70","36,40","12,470","13,030","12,370","0,00","0,00","437,99"
16,00:00:16,137,"13,50","49,50","36,60","12,470","13,030","12,350","0,00","0,00","435,87"
17,00:00:17,138,"13,50","49,50","36,60","12,470","13,030","12,350","0,00","0,00","435,55"
18,00:00:18,138,"13,20","48,90","37,10","12,470","13,030","12,330","0,00","0,00","433,59"
19,00:00:19,138,"13,20","48,40","37,10","12,470","13,040","12,330","0,00","0,00","434,24"
20,00:00:20,138,"12,40","48,40","37,10","12,470","13,040","12,300","0,00","0,00","434,08"
21,00:00:21,139,"12,40","48,40","37,10","12,470","13,040","12,300","0,00","0,00","433,59"
22,00:00:22,139,"12,20","47,80","36,80","12,480","13,040","12,300","0,00","0,00","433,59"
23,00:00:23,139,"12,20","47,80","36,80","12,480","13,040","12,300","0,00","0,00","431,64"
24,00:00:24,138,"12,30","47,10","36,30","12,480","13,040","12,280","0,00","0,00","432,94"
25,00:00:25,138,"12,30","47,10","36,30","12,480","13,040","12,280","0,00","0,00","432,62"
26,00:00:26,139,"12,50","46,20","35,20","12,480","13,040","12,290","0,00","0,00","432,62"
27,00:00:27,139,"12,50","46,20","35,20","12,480","13,040","12,290","0,00","0,00","430,86"
28,00:00:28,140,"12,60","45,60","33,70","12,480","13,040","12,330","0,00","0,00","429,20"
29,00:00:29,140,"12,60","45,60","33,70","12,480","13,040","12,330","0,00","0,00","432,62"
30,00:00:30,140,"12,90","45,10","32,60","12,480","13,040","12,350","0,00","0,00","427,73"
31,00:00:31,140,"12,90","45,10","32,60","12,480","13,040","12,350","0,00","0,00","429,69"
32,00:00:32,140,"12,90","44,80","31,60","12,480","13,040","12,360","0,00","0,00","430,66"
